Jun  8 21:00:24 rx10025878 syslogd: restart
Jun 08 21:00:29 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 35.3 to 33.2
Jun 08 21:01:48 nto CI: INFO	statistics	statistics: write: 20 statistics jobs in 1002 ms - 50 ms/job
Jun 08 21:02:09 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: COMPLETED 
Jun 08 21:02:09 nto PU4: DEBUG	Mppt	SlowHsiaoChenTracker: RUNNING Current Power: 2994 Current Voltage: 621 
Jun 08 21:02:20 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 366 ms - 73 ms/job
Jun 08 21:02:48 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 617 Idc: 4 Pdc: 2931 Pac: 2686 Wh: 223 IdLim: 0.98 Phi: 0.00 
Jun 08 21:02:48 nto PU4: INFO	System	PLog2 300000 ms: tL1: 52 tL2: 54 tL3: 51 tCb: 53 tAc: 41 tDc: 23 
Jun 08 21:02:48 nto PU4: INFO	System	PLog3 300000 ms: iL1: 3 iL2: 4 iL3: 3 vL12: 389 vL23: 389 vL31: 389 f: 49.98 
Jun 08 21:02:48 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 608 Idc: 4 Pdc: 2504 Pac: 2400 Wh: 200 IdLim: 0.97 Phi: 0.00 
Jun 08 21:02:48 nto PU3: INFO	System	PLog2 300000 ms: tL1: 51 tL2: 52 tL3: 51 tCb: 53 tAc: 39 tDc: 23 
Jun 08 21:02:48 nto PU3: INFO	System	PLog3 300000 ms: iL1: 3 iL2: 3 iL3: 3 vL12: 389 vL23: 389 vL31: 389 f: 49.98 
Jun 08 21:02:49 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 594 Idc: 4 Pdc: 2421 Pac: 2224 Wh: 185 IdLim: 0.96 Phi: 0.00 
Jun 08 21:02:49 nto PU2: INFO	System	PLog2 300000 ms: tL1: 49 tL2: 50 tL3: 49 tCb: 53 tAc: 40 tDc: 23 
Jun 08 21:02:49 nto PU2: INFO	System	PLog3 300000 ms: iL1: 3 iL2: 3 iL3: 3 vL12: 389 vL23: 389 vL31: 389 f: 49.99 
