Jun 13 15:00:24 rx10025878 syslogd: restart
Jun 13 15:01:32 nto CI: INFO	iumanager	iumanager: VXTBUS change from 15.200000 to 15.300000
Jun 13 15:02:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 556 ms - 111 ms/job
Jun 13 15:02:31 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 594 Idc: 193 Pdc: 114442 Pac: 111552 Wh: 9296 IdLim: 0.95 Phi: 0.00 
Jun 13 15:02:31 nto PU2: INFO	System	PLog2 300000 ms: tL1: 50 tL2: 51 tL3: 51 tCb: 51 tAc: 32 tDc: 23 
Jun 13 15:02:31 nto PU2: INFO	System	PLog3 300000 ms: iL1: 165 iL2: 165 iL3: 165 vL12: 389 vL23: 388 vL31: 389 f: 49.97 
Jun 13 15:02:31 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 593 Idc: 218 Pdc: 129750 Pac: 126209 Wh: 10517 IdLim: 0.95 Phi: 0.00 
Jun 13 15:02:31 nto PU4: INFO	System	PLog2 300000 ms: tL1: 49 tL2: 51 tL3: 50 tCb: 53 tAc: 35 tDc: 23 
Jun 13 15:02:31 nto PU4: INFO	System	PLog3 300000 ms: iL1: 187 iL2: 187 iL3: 187 vL12: 389 vL23: 387 vL31: 389 f: 49.98 
Jun 13 15:02:31 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 600 Idc: 203 Pdc: 121850 Pac: 118687 Wh: 9890 IdLim: 0.96 Phi: 0.00 
Jun 13 15:02:31 nto PU3: INFO	System	PLog2 300000 ms: tL1: 57 tL2: 58 tL3: 57 tCb: 53 tAc: 34 tDc: 23 
Jun 13 15:02:31 nto PU3: INFO	System	PLog3 300000 ms: iL1: 176 iL2: 176 iL3: 176 vL12: 389 vL23: 388 vL31: 389 f: 49.97 
Jun 13 15:02:34 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 591 Idc: 192 Pdc: 113867 Pac: 110765 Wh: 9230 IdLim: 0.94 Phi: 0.00 
Jun 13 15:02:34 nto PU1: INFO	System	PLog2 300000 ms: tL1: 50 tL2: 51 tL3: 51 tCb: 49 tAc: 32 tDc: 23 
Jun 13 15:02:34 nto PU1: INFO	System	PLog3 300000 ms: iL1: 164 iL2: 164 iL3: 164 vL12: 389 vL23: 388 vL31: 389 f: 49.98 
Jun 13 15:05:03 nto CI: INFO	OSLog1	MEM: 64627920 12996608 7190212 PROC:  
Jun 13 15:07:32 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 593 Idc: 192 Pdc: 114110 Pac: 111453 Wh: 9287 IdLim: 0.95 Phi: 0.00 
Jun 13 15:07:32 nto PU2: INFO	System	PLog2 300000 ms: tL1: 55 tL2: 56 tL3: 56 tCb: 51 tAc: 33 tDc: 23 
Jun 13 15:07:32 nto PU2: INFO	System	PLog3 300000 ms: iL1: 165 iL2: 165 iL3: 165 vL12: 389 vL23: 388 vL31: 389 f: 49.98 
Jun 13 15:07:32 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 592 Idc: 218 Pdc: 129845 Pac: 126319 Wh: 10526 IdLim: 0.95 Phi: 0.00 
Jun 13 15:07:32 nto PU4: INFO	System	PLog2 300000 ms: tL1: 50 tL2: 54 tL3: 52 tCb: 53 tAc: 35 tDc: 23 
Jun 13 15:07:32 nto PU4: INFO	System	PLog3 300000 ms: iL1: 187 iL2: 187 iL3: 187 vL12: 389 vL23: 388 vL31: 389 f: 49.98 
Jun 13 15:07:32 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 601 Idc: 201 Pdc: 121102 Pac: 118304 Wh: 9858 IdLim: 0.96 Phi: 0.00 
Jun 13 15:07:32 nto PU3: INFO	System	PLog2 300000 ms: tL1: 54 tL2: 54 tL3: 54 tCb: 52 tAc: 34 tDc: 23 
Jun 13 15:07:32 nto PU3: INFO	System	PLog3 300000 ms: iL1: 175 iL2: 175 iL3: 175 vL12: 389 vL23: 388 vL31: 389 f: 49.98 
Jun 13 15:07:35 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 591 Idc: 191 Pdc: 113192 Pac: 110267 Wh: 9188 IdLim: 0.95 Phi: 0.00 
Jun 13 15:07:35 nto PU1: INFO	System	PLog2 300000 ms: tL1: 52 tL2: 53 tL3: 53 tCb: 49 tAc: 32 tDc: 23 
Jun 13 15:07:35 nto PU1: INFO	System	PLog3 300000 ms: iL1: 163 iL2: 163 iL3: 163 vL12: 389 vL23: 388 vL31: 389 f: 49.98 
Jun 13 15:08:02 nto CI: INFO	statistics	statistics: write: 20 statistics jobs in 965 ms - 48 ms/job
Jun 13 15:10:03 nto CI: INFO	OSLog1	MEM: 64627920 12996608 7190212 PROC:  
Jun 13 15:12:02 nto CI: INFO	statistics	statistics: write: 15 day chart jobs in 1732 ms - 115 ms/job
Jun 13 15:12:03 nto CI: INFO	statistics	statistics: write: 9 day chart jobs in 1638 ms - 182 ms/job
Jun 13 15:12:33 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 593 Idc: 191 Pdc: 113737 Pac: 111152 Wh: 9262 IdLim: 0.95 Phi: 0.00 
Jun 13 15:12:33 nto PU2: INFO	System	PLog2 300000 ms: tL1: 57 tL2: 58 tL3: 57 tCb: 51 tAc: 31 tDc: 23 
Jun 13 15:12:33 nto PU2: INFO	System	PLog3 300000 ms: iL1: 164 iL2: 164 iL3: 165 vL12: 389 vL23: 388 vL31: 389 f: 49.98 
Jun 13 15:12:33 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 593 Idc: 218 Pdc: 129557 Pac: 125977 Wh: 10498 IdLim: 0.95 Phi: 0.00 
Jun 13 15:12:33 nto PU4: INFO	System	PLog2 300000 ms: tL1: 57 tL2: 59 tL3: 57 tCb: 53 tAc: 35 tDc: 23 
Jun 13 15:12:33 nto PU4: INFO	System	PLog3 300000 ms: iL1: 186 iL2: 187 iL3: 186 vL12: 389 vL23: 388 vL31: 389 f: 49.97 
Jun 13 15:12:33 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 596 Idc: 203 Pdc: 121114 Pac: 117962 Wh: 9830 IdLim: 0.95 Phi: 0.00 
Jun 13 15:12:33 nto PU3: INFO	System	PLog2 300000 ms: tL1: 50 tL2: 51 tL3: 51 tCb: 53 tAc: 34 tDc: 23 
Jun 13 15:12:33 nto PU3: INFO	System	PLog3 300000 ms: iL1: 175 iL2: 175 iL3: 174 vL12: 389 vL23: 388 vL31: 389 f: 49.98 
Jun 13 15:12:37 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 587 Idc: 192 Pdc: 113004 Pac: 109673 Wh: 9139 IdLim: 0.94 Phi: 0.00 
Jun 13 15:12:37 nto PU1: INFO	System	PLog2 300000 ms: tL1: 59 tL2: 58 tL3: 58 tCb: 49 tAc: 32 tDc: 23 
Jun 13 15:12:37 nto PU1: INFO	System	PLog3 300000 ms: iL1: 162 iL2: 163 iL3: 162 vL12: 389 vL23: 388 vL31: 389 f: 49.98 
Jun 13 15:14:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 393 ms - 78 ms/job
Jun 13 15:15:04 rx10025878 syslogd: restart
Jun 13 15:15:07 nto CI: INFO	OSLog1	MEM: 66602192 14495744 5711556 PROC:  
Jun 13 15:15:09 rx10025878 syslogd: restart
Jun 13 15:15:12 rx10025878 syslogd: restart
Jun 13 15:15:16 rx10025878 syslogd: restart
Jun 13 15:15:19 rx10025878 syslogd: restart
