Jun 20 14:15:24 rx10025878 syslogd: restart
Jun 20 14:15:25 nto CI: INFO	logrotate.sh	/mnt/sd/syslog.txt.0002 has 10000000 bytes => log rotation 
Jun 20 14:16:25 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 29.6 to 32.3
Jun 20 14:16:46 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 32.3 to 35.1
Jun 20 14:17:06 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 35.1 to 37.6
Jun 20 14:17:37 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 37.6 to 40.1
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 152894 Current Voltage: 684 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153267 Current Voltage: 688 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153250 Current Voltage: 692 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153148 Current Voltage: 697 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153284 Current Voltage: 700 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:19:35 nto PU4: INFO	System	CLog1 500 ms: 20008 Vdc: 702 Idc: 218 Pdc: 153342 Pac: 148946 IdLim: 1.00 Phi: 0.00 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153418 Current Voltage: 703 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153102 Current Voltage: 706 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 152985 Current Voltage: 708 
Jun 20 14:19:35 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 152927 Current Voltage: 710 
