Jun 26 03:00:17 rx10025878 syslogd: restart
Jun 26 03:00:20 rx10025878 syslogd: restart
Jun 26 03:00:23 rx10025878 syslogd: restart
Jun 26 03:00:25 rx10025878 syslogd: restart
Jun 26 03:00:28 rx10025878 syslogd: restart
Jun 26 03:00:30 rx10025878 syslogd: restart
Jun 26 03:00:33 rx10025878 syslogd: restart
Jun 26 03:00:36 rx10025878 syslogd: restart
Jun 26 03:00:36 nto CI: INFO	logrotate.sh	/mnt/sd/statuslog.csv.0002 has 10000000 bytes => log rotation 
Jun 26 03:02:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 295 ms - 59 ms/job
Jun 26 03:05:02 nto CI: INFO	OSLog1	MEM: 63513808 12996608 7190212 PROC:  
Jun 26 03:07:02 nto CI: INFO	iumanager	iumanager: VIN change from 12.100000 to 12.000000
Jun 26 03:10:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 03:12:02 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 1523 ms - 63 ms/job
Jun 26 03:14:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 319 ms - 63 ms/job
Jun 26 03:15:02 nto CI: INFO	OSLog1	MEM: 63513808 12996608 7190212 PROC:  
Jun 26 03:20:02 nto CI: INFO	OSLog1	MEM: 63513808 12996608 7190212 PROC:  
Jun 26 03:24:01 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 624 ms - 26 ms/job
Jun 26 03:25:02 nto CI: INFO	OSLog1	MEM: 63513808 12996608 7190212 PROC:  
Jun 26 03:26:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 291 ms - 58 ms/job
Jun 26 03:30:02 nto CI: INFO	OSLog1	MEM: 63513808 12996608 7190212 PROC:  
Jun 26 03:35:02 nto CI: INFO	OSLog1	MEM: 63513808 12996608 7190212 PROC:  
Jun 26 03:36:00 nto CI: INFO	statistics	statistics: write: 12 day chart jobs in 499 ms - 41 ms/job
Jun 26 03:36:01 nto CI: INFO	statistics	statistics: write: 12 day chart jobs in 459 ms - 38 ms/job
Jun 26 03:38:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 295 ms - 59 ms/job
Jun 26 03:40:02 nto CI: INFO	OSLog1	MEM: 63513808 12996608 7190212 PROC:  
Jun 26 03:45:02 nto CI: INFO	OSLog1	MEM: 63513808 12996608 7190212 PROC:  
Jun 26 03:48:01 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 616 ms - 25 ms/job
Jun 26 03:50:02 nto CI: INFO	OSLog1	MEM: 63513808 12996608 7190212 PROC:  
Jun 26 03:50:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 300 ms - 60 ms/job
Jun 26 03:55:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:00:01 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 883 ms - 36 ms/job
Jun 26 04:00:03 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:02:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 328 ms - 65 ms/job
Jun 26 04:05:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:10:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:12:02 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 1487 ms - 61 ms/job
Jun 26 04:14:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 303 ms - 60 ms/job
Jun 26 04:15:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:20:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:24:01 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 623 ms - 25 ms/job
Jun 26 04:25:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:26:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 305 ms - 61 ms/job
Jun 26 04:30:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:35:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:36:01 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 631 ms - 26 ms/job
Jun 26 04:38:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 314 ms - 62 ms/job
Jun 26 04:40:02 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:45:03 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:48:01 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 614 ms - 25 ms/job
Jun 26 04:50:03 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 04:50:18 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 291 ms - 58 ms/job
Jun 26 04:55:03 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 05:00:00 nto CI: INFO	statistics	statistics: write: 5 day chart jobs in 450 ms - 90 ms/job
Jun 26 05:00:02 nto CI: INFO	statistics	statistics: write: 19 day chart jobs in 1168 ms - 61 ms/job
Jun 26 05:00:03 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 05:02:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 828 ms - 165 ms/job
Jun 26 05:03:41 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 20.6 to 18.6
Jun 26 05:05:03 nto CI: INFO	OSLog1	MEM: 63517904 12996608 7190212 PROC:  
Jun 26 05:06:24 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM1 input change from FALSE to TRUE
Jun 26 05:06:24 nto CI: INFO	iumanager	iumanager: WAKEUP_XT_TQM2 input change from FALSE to TRUE
Jun 26 05:06:24 nto CI: INFO	iumanager	iumanager: INVERTER WARNINGS == 0x00000080 OR 0x00000000 OR 0x00000000 OR 0x00000000 OR 0x00000000 == 0x00000080
Jun 26 05:06:24 nto CI: INFO	iumanager	iumanager: WAKEUP: DC voltage high, enabling power supplies
