Jun 26 06:00:24 rx10025878 syslogd: restart
Jun 26 06:00:27 rx10025878 syslogd: restart
Jun 26 06:00:31 rx10025878 syslogd: restart
Jun 26 06:00:33 nto CI: WARNING	pumanager3	maxcomm: Invalid packet, Dest=0, Source=3, Length=229, Port=100, State=21, retCode=2
Jun 26 06:00:34 rx10025878 syslogd: restart
Jun 26 06:00:38 rx10025878 syslogd: restart
Jun 26 06:00:41 rx10025878 syslogd: restart
Jun 26 06:00:44 rx10025878 syslogd: restart
Jun 26 06:01:11 nto PU3: INFO	PuMaster	Startup Sub FSM State: RUN_POWERTEST 
Jun 26 06:01:11 nto PU3: INFO	SafetyFeatures	Powertest Failed: VdcInit: 790.980469 VdcLimit: 771.205933 VdcEnd: 770.984314 
Jun 26 06:01:11 nto PU3: INFO	PuMaster	Startup Sub FSM State: POWERTEST_FAILED 
Jun 26 06:01:45 nto PU3: INFO	System	PLog1 300000 ms: 1 20002 Vdc: 791 Idc: 0 Pdc: 0 Pac: 0 Wh: 0 IdLim: 0.00 Phi: 0.00 
Jun 26 06:01:45 nto PU3: INFO	System	PLog2 300000 ms: tL1: 19 tL2: 19 tL3: 19 tCb: 38 tAc: 20 tDc: 23 
Jun 26 06:01:45 nto PU3: INFO	System	PLog3 300000 ms: iL1: 0 iL2: 0 iL3: 0 vL12: 387 vL23: 387 vL31: 387 f: 50.04 
Jun 26 06:01:45 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 656 Idc: 5 Pdc: 3393 Pac: 2926 Wh: 243 IdLim: 1.00 Phi: 0.00 
Jun 26 06:01:45 nto PU4: INFO	System	PLog2 300000 ms: tL1: 22 tL2: 22 tL3: 22 tCb: 37 tAc: 20 tDc: 23 
Jun 26 06:01:45 nto PU4: INFO	System	PLog3 300000 ms: iL1: 4 iL2: 4 iL3: 4 vL12: 388 vL23: 388 vL31: 388 f: 50.04 
Jun 26 06:01:45 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 652 Idc: 4 Pdc: 3168 Pac: 2641 Wh: 220 IdLim: 1.00 Phi: 0.00 
Jun 26 06:01:45 nto PU1: INFO	System	PLog2 300000 ms: tL1: 21 tL2: 21 tL3: 21 tCb: 36 tAc: 19 tDc: 23 
Jun 26 06:01:45 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 661 Idc: 4 Pdc: 2969 Pac: 2730 Wh: 227 IdLim: 1.00 Phi: 0.00 
Jun 26 06:01:45 nto PU2: INFO	System	PLog2 300000 ms: tL1: 22 tL2: 22 tL3: 22 tCb: 37 tAc: 20 tDc: 23 
Jun 26 06:01:45 nto PU1: INFO	System	PLog3 300000 ms: iL1: 3 iL2: 4 iL3: 3 vL12: 388 vL23: 388 vL31: 388 f: 50.04 
