Jun 29 08:45:23 rx10025878 syslogd: restart
Jun 29 08:45:31 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 32.5 to 30.5
Jun 29 08:46:57 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 704 Idc: 50 Pdc: 35291 Pac: 34443 Wh: 2870 IdLim: 1.00 Phi: 0.00 
Jun 29 08:46:57 nto PU4: INFO	System	PLog2 300000 ms: tL1: 55 tL2: 57 tL3: 53 tCb: 46 tAc: 31 tDc: 23 
Jun 29 08:46:57 nto PU4: INFO	System	PLog3 300000 ms: iL1: 50 iL2: 51 iL3: 50 vL12: 393 vL23: 393 vL31: 393 f: 49.99 
Jun 29 08:46:57 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 704 Idc: 50 Pdc: 35274 Pac: 34340 Wh: 2861 IdLim: 1.00 Phi: 0.00 
Jun 29 08:46:57 nto PU3: INFO	System	PLog2 300000 ms: tL1: 54 tL2: 56 tL3: 54 tCb: 47 tAc: 31 tDc: 23 
Jun 29 08:46:57 nto PU3: INFO	System	PLog3 300000 ms: iL1: 50 iL2: 50 iL3: 50 vL12: 393 vL23: 393 vL31: 393 f: 49.99 
Jun 29 08:46:58 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 703 Idc: 46 Pdc: 32405 Pac: 31339 Wh: 2611 IdLim: 1.00 Phi: 0.00 
Jun 29 08:46:58 nto PU2: INFO	System	PLog2 300000 ms: tL1: 51 tL2: 53 tL3: 51 tCb: 46 tAc: 29 tDc: 23 
Jun 29 08:46:58 nto PU2: INFO	System	PLog3 300000 ms: iL1: 45 iL2: 46 iL3: 45 vL12: 393 vL23: 393 vL31: 393 f: 49.99 
Jun 29 08:46:59 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 701 Idc: 47 Pdc: 33146 Pac: 31930 Wh: 2660 IdLim: 1.00 Phi: 0.00 
Jun 29 08:46:59 nto PU1: INFO	System	PLog2 300000 ms: tL1: 51 tL2: 51 tL3: 51 tCb: 46 tAc: 28 tDc: 23 
Jun 29 08:46:59 nto PU1: INFO	System	PLog3 300000 ms: iL1: 46 iL2: 47 iL3: 46 vL12: 393 vL23: 393 vL31: 393 f: 49.99 
Jun 29 08:47:03 nto CI: INFO	statistics	statistics: write: 15 statistics jobs in 1001 ms - 66 ms/job
Jun 29 08:47:04 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 636 ms - 127 ms/job
Jun 29 08:48:01 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 840 ms - 35 ms/job
Jun 29 08:50:03 nto CI: INFO	OSLog1	MEM: 64496848 12996608 7190212 PROC:  
Jun 29 08:50:18 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 427 ms - 85 ms/job
Jun 29 08:51:58 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 684 Idc: 40 Pdc: 27556 Pac: 26751 Wh: 2229 IdLim: 1.00 Phi: 0.00 
Jun 29 08:51:58 nto PU4: INFO	System	PLog2 300000 ms: tL1: 57 tL2: 59 tL3: 55 tCb: 46 tAc: 32 tDc: 23 
Jun 29 08:51:58 nto PU4: INFO	System	PLog3 300000 ms: iL1: 39 iL2: 39 iL3: 39 vL12: 393 vL23: 393 vL31: 393 f: 50.00 
Jun 29 08:51:58 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 696 Idc: 38 Pdc: 26629 Pac: 25743 Wh: 2145 IdLim: 1.00 Phi: 0.00 
Jun 29 08:51:58 nto PU3: INFO	System	PLog2 300000 ms: tL1: 56 tL2: 58 tL3: 56 tCb: 47 tAc: 32 tDc: 23 
