Jun 29 13:00:24 rx10025878 syslogd: restart
Jun 29 13:02:18 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 324 ms - 64 ms/job
Jun 29 13:02:32 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 31.2 to 29.1
Jun 29 13:02:58 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 594 Idc: 225 Pdc: 134289 Pac: 131066 Wh: 10922 IdLim: 0.94 Phi: 0.00 
Jun 29 13:02:58 nto PU3: INFO	System	PLog2 300000 ms: tL1: 53 tL2: 54 tL3: 53 tCb: 53 tAc: 35 tDc: 23 
Jun 29 13:02:58 nto PU3: INFO	System	PLog3 300000 ms: iL1: 192 iL2: 193 iL3: 192 vL12: 393 vL23: 392 vL31: 393 f: 50.00 
Jun 29 13:02:59 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 602 Idc: 229 Pdc: 137832 Pac: 134025 Wh: 11168 IdLim: 0.95 Phi: 0.00 
Jun 29 13:02:59 nto PU4: INFO	System	PLog2 300000 ms: tL1: 50 tL2: 52 tL3: 51 tCb: 53 tAc: 34 tDc: 23 
Jun 29 13:02:59 nto PU4: INFO	System	PLog3 300000 ms: iL1: 196 iL2: 198 iL3: 196 vL12: 393 vL23: 392 vL31: 393 f: 50.00 
Jun 29 13:03:01 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 600 Idc: 204 Pdc: 122311 Pac: 119583 Wh: 9965 IdLim: 0.95 Phi: 0.00 
Jun 29 13:03:01 nto PU2: INFO	System	PLog2 300000 ms: tL1: 55 tL2: 55 tL3: 55 tCb: 51 tAc: 32 tDc: 23 
Jun 29 13:03:01 nto PU2: INFO	System	PLog3 300000 ms: iL1: 175 iL2: 175 iL3: 175 vL12: 393 vL23: 392 vL31: 393 f: 50.00 
Jun 29 13:03:03 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 602 Idc: 205 Pdc: 123471 Pac: 120458 Wh: 10038 IdLim: 0.96 Phi: 0.00 
Jun 29 13:03:03 nto PU1: INFO	System	PLog2 300000 ms: tL1: 60 tL2: 58 tL3: 58 tCb: 50 tAc: 31 tDc: 23 
Jun 29 13:03:03 nto PU1: INFO	System	PLog3 300000 ms: iL1: 176 iL2: 177 iL3: 176 vL12: 393 vL23: 392 vL31: 393 f: 50.01 
Jun 29 13:05:03 nto CI: INFO	OSLog1	MEM: 64627920 12996608 7190212 PROC:  
Jun 29 13:05:37 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147899 Current Voltage: 606 
Jun 29 13:05:37 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:05:37 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147981 Current Voltage: 607 
Jun 29 13:05:38 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147813 Current Voltage: 609 
Jun 29 13:05:38 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:05:38 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147592 Current Voltage: 610 
Jun 29 13:05:45 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146645 Current Voltage: 601 
Jun 29 13:05:45 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:05:45 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146683 Current Voltage: 603 
Jun 29 13:05:48 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146657 Current Voltage: 605 
Jun 29 13:05:48 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:05:48 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146498 Current Voltage: 605 
Jun 29 13:05:53 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146645 Current Voltage: 602 
Jun 29 13:05:53 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:05:53 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146576 Current Voltage: 603 
Jun 29 13:05:56 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146626 Current Voltage: 602 
